<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC16131,08:00:30:F3:01:5E
AMC16132,08:00:30:F3:01:1E
# uTCA crate in S1E03 U36
MCH1701,00:40:42:0B:0E:F4
AMC1701,08:00:30:00:23:DD
AMC1702,08:00:30:00:23:21
AMC1703,08:00:30:00:23:0B
AMC1704,08:00:30:00:23:1F
AMC1705,08:00:30:00:23:98
AMC1706,08:00:30:00:23:1A
AMC1707,08:00:30:00:23:09
AMC1708,08:00:30:00:23:06
AMC1709,08:00:30:00:23:12
AMC1710,08:00:30:00:23:16
AMC1711,0C:05:04:03:04:11
AMC1712,0C:05:04:03:04:12
AMC17131,80:D3:36:F3:03:F5
AMC17132,80:D3:36:F3:03:F4

# uTCA crate in S1E10 U05
MCH1801,00:40:42:0B:19:4E
AMC1801,08:00:30:F1:00:AA
AMC1802,08:00:30:F1:00:5C
AMC1803,08:00:30:F1:00:A8
AMC1804,0C:05:04:03:04:24
AMC1805,08:00:30:F1:00:B9
AMC1806,0C:05:04:03:04:26
AMC1807,08:00:30:F1:00:AE
AMC1808,0C:05:04:03:04:28
AMC1809,08:00:30:F1:00:97
AMC1810,08:00:30:F1:00:9A
AMC1811,0C:05:04:03:04:31
AMC1812,0C:05:04:03:04:32
AMC18131,08:00:30:F3:01:10
AMC18132,08:00:30:F3:01:50
# uTCA crate in S1E10 U14
MCH1901,00:40:42:0B:1D:F8
AMC1901,08:00:30:F1:00:B2
AMC1902,08:00:30:F1:00:B0
AMC1903,08:00:30:F1:00:C0
AMC1904,0C:05:04:03:04:44
AMC1905,08:00:30:F1:00:C1
AMC1906,0C:05:04:03:04:46
AMC1907,08:00:30:F1:00:AB
AMC1908,08:00:30:F1:00:B7
AMC1909,0C:05:04:03:04:49
AMC1910,08:00:30:F1:00:B3
AMC1911,0C:05:04:03:04:51
