# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


# Blade Chassis in C2E41-30 with the MACs
FVZZW4J,84:2B:2B:28:FA:92
# slot, 1Gb MAC 1 are
6DMCG42,D4:AE:52:01:1A:7B,,D4:AE:52:01:1A:76
1FMCG42,D4:AE:52:01:1A:88,,D4:AE:52:01:1A:83


# OLD C2F43
# DCS Redundant chassis and blades for surface or underground
# DCS Blade Enclosures
#57QKH5J,90:B1:1C:11:01:89
#6Q7PJ5J,90:B1:1C:EC:46:41
#JP7PJ5J,90:B1:1C:EC:46:4E
#2Q7PJ5J,90:B1:1C:EC:46:5B
#1Q7PJ5J,90:B1:1C:EC:46:68
#3Q7PJ5J,90:B1:1C:EC:46:75
#7Q7PJ5J,90:B1:1C:EC:46:82
#4Q7PJ5J,90:B1:1C:EC:46:8F
#GP7PJ5J,90:B1:1C:EC:46:9C
#6Z2PJ5J,90:B1:1C:EC:46:A9
#8Z2PJ5J,90:B1:1C:EC:46:B6
#3Z2PJ5J,90:B1:1C:EC:46:C3
#1Z2PJ5J,90:B1:1C:EC:46:D0
#2Z2PJ5J,90:B1:1C:EC:46:DD
#BZ2PJ5J,90:B1:1C:EC:46:EA
#HP7PJ5J,90:B1:1C:EC:46:F7
#FDMCG42,90:B1:1C:EC:47:04

## This one is dcs-c2f43-26-16 but currently in C2E41 chassis
FDMCG42,84:2B:2B:E5:06:CA

# slot,MACs are
#,D4:AE:52:04:98:01
#,D4:AE:52:04:98:0E
#,D4:AE:52:04:98:1B
#,D4:AE:52:04:98:28
#,D4:AE:52:04:98:35
#,D4:AE:52:04:98:42
#,D4:AE:52:04:98:4F
#,D4:AE:52:04:98:5C
#,D4:AE:52:04:98:69
#,D4:AE:52:04:98:76
#,D4:AE:52:04:98:83
#,D4:AE:52:04:98:90
#,D4:AE:52:04:98:9D
#,D4:AE:52:04:98:AA
#,D4:AE:52:04:98:B7
#,D4:AE:52:04:98:C4

## DCS Blade Enclosures rack s2f16 U22
DDFFH5J,90:B1:1C:0D:A2:DE
8N5PJ5J,90:B1:1C:F3:4F:01
FN5PJ5J,90:B1:1C:F3:4F:0E
JN5PJ5J,90:B1:1C:F3:4F:1B
DN5PJ5J,90:B1:1C:F3:4F:28
GN5PJ5J,90:B1:1C:F3:4F:35
1P5PJ5J,90:B1:1C:F3:4F:42
HN5PJ5J,90:B1:1C:F3:4F:4F
CN5PJ5J,90:B1:1C:F3:4F:5C
JG2PJ5J,90:B1:1C:F3:4F:69
GG2PJ5J,90:B1:1C:F3:4F:76
FG2PJ5J,90:B1:1C:F3:4F:83
4Z2PJ5J,90:B1:1C:F3:4F:90
7Z2PJ5J,90:B1:1C:F3:4F:9D
9Z2PJ5J,90:B1:1C:F3:4F:AA
5Z2PJ5J,90:B1:1C:F3:4F:B7
#9N5PJ5J,90:B1:1C:F3:4F:C4
6FMCG42,90:B1:1C:F3:4F:C4


# Serial numbers for 18 x M630 64GB blades (DAI 5886307, Dec 2014)
#HBMCG42
#4CMCG42
#CFMCG42
#6FMCG42
#BDMCG42
#GCMCG42
#F8MCG42
#F9MCG42
#1FMCG42,D4:AE:52:01:19:F9
#FDMCG42
#7GMCG42
#7BMCG42
#2BMCG42,D4:AE:52:01:19:EC
#6DMCG42
#HFMCG42
#2DMCG42
#3GMCG42
#BBMCG42
# Serial numbers for 20 x M630 128GB blades (DAI 5886307, Dec 2014)
#H9MCG42
#18MCG42
#J8MCG42
#78MCG42
#98MCG42
#1BMCG42
#CKMCG42
#JJMCG42
#HJMCG42
#9KMCG42
#3KMCG42
#BKMCG42
#DKMCG42
#7KMCG42
#4JMCG42
#HKMCG42
#FJMCG42
#9JMCG42
#CJMCG42
#5KMCG42
