# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


#### Rack C2A01 ####
MC17120311-3,a4:bf:01:2d:1f:d9,,a4:bf:01:2d:1f:db
MC17120311-4,a4:bf:01:28:90:bc,,a4:bf:01:28:90:be

#### Rack C2A02 ####
MC17120216-1,a4:bf:01:28:c0:61,,a4:bf:01:28:c0:63
MC17120216-2,a4:bf:01:28:c3:fe,,a4:bf:01:28:c4:00
MC17120216-3,a4:bf:01:2d:21:32,,a4:bf:01:2d:21:34
MC17120216-4,a4:bf:01:28:eb:df,,a4:bf:01:28:eb:e1
MC17120219-1,a4:bf:01:28:97:fb,,a4:bf:01:28:97:fd
MC17120219-2,a4:bf:01:28:c2:2d,,a4:bf:01:28:c2:2f
MC17120219-3,a4:bf:01:28:91:61,,a4:bf:01:28:91:63
MC17120219-4,a4:bf:01:28:c4:35,,a4:bf:01:28:c4:37
MC17120220-1,a4:bf:01:28:c3:d1,,a4:bf:01:28:c3:d3
MC17120220-2,a4:bf:01:28:96:89,,a4:bf:01:28:96:8b
MC17120220-3,a4:bf:01:28:97:24,,a4:bf:01:28:97:26
MC17120220-4,a4:bf:01:28:96:de,,a4:bf:01:28:96:e0
MC17120226-1,a4:bf:01:28:c2:23,,a4:bf:01:28:c2:25
MC17120226-2,a4:bf:01:28:9a:49,,a4:bf:01:28:9a:4b
MC17120226-3,a4:bf:01:28:95:e9,,a4:bf:01:28:95:eb
MC17120226-4,a4:bf:01:28:99:a4,,a4:bf:01:28:99:a6
MC17120232-1,a4:bf:01:28:98:a0,,a4:bf:01:28:98:a2
MC17120232-2,a4:bf:01:28:c4:58,,a4:bf:01:28:c4:5a
MC17120232-3,a4:bf:01:28:c0:ed,,a4:bf:01:28:c0:ef
MC17120232-4,a4:bf:01:28:95:3a,,a4:bf:01:28:95:3c
MC17120253-1,a4:bf:01:28:99:54,,a4:bf:01:28:99:56
MC17120253-2,a4:bf:01:28:9c:e7,,a4:bf:01:28:9c:e9
MC17120253-3,a4:bf:01:28:98:e6,,a4:bf:01:28:98:e8
MC17120253-4,a4:bf:01:28:94:c7,,a4:bf:01:28:94:c9
MC17120261-1,a4:bf:01:28:c3:ae,,a4:bf:01:28:c3:b0
MC17120261-2,a4:bf:01:28:95:8f,,a4:bf:01:28:95:91
MC17120261-3,a4:bf:01:28:c4:b7,,a4:bf:01:28:c4:b9
MC17120261-4,a4:bf:01:28:b6:16,,a4:bf:01:28:b6:18
MC17120276-1,a4:bf:01:28:97:74,,a4:bf:01:28:97:76
MC17120276-2,a4:bf:01:28:28:95,,a4:bf:01:28:28:97
MC17120276-3,a4:bf:01:28:95:f3,,a4:bf:01:28:95:f5
MC17120276-4,a4:bf:01:28:c4:fd,,a4:bf:01:28:c4:ff
MC17120282-1,a4:bf:01:27:b0:01,,a4:bf:01:27:b0:03
