<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
GQ4HZG2,18:66:DA:F3:7D:A0,18:66:DA:F3:7D:A1,84:7B:EB:D8:8B:74
GQ5HZG2,18:66:DA:F3:7C:08,18:66:DA:F3:7C:09,84:7B:EB:D8:90:F4
GQ6BZG2,18:66:DA:F3:E9:8C,18:66:DA:F3:E9:8D,84:7B:EB:D8:5A:82
GQ6HZG2,18:66:DA:F3:81:70,18:66:DA:F3:81:71,84:7B:EB:D8:5A:72
GQ7BZG2,18:66:DA:F3:B1:88,18:66:DA:F3:B1:89,84:7B:EB:D8:5E:AE

# 4 x R730 BU type
GR0LZG2,18:66:DA:F3:85:44,18:66:DA:F3:85:45,18:FB:7B:AB:03:8D
GRCCZG2,18:66:DA:F3:BA:B8,18:66:DA:F3:BA:B9,18:FB:7B:AB:0E:D5
GRDCZG2,18:66:DA:F3:A5:F0,18:66:DA:F3:A5:F1,18:FB:7B:AB:0E:DF
GRDJZG2,18:66:DA:F3:A6:68,18:66:DA:F3:A6:69,18:FB:7B:AB:0E:C7

