<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# R440 Order 8013322
1P2DG13,4C:D9:8F:B0:13:B4,4C:D9:8F:B0:13:B5,4C:D9:8F:B0:13:AE
1Q2DG13,4C:D9:8F:B2:A4:F7,4C:D9:8F:B2:A4:F8,4C:D9:8F:B2:A4:F1
1R2DG13,4C:D9:8F:B2:B1:FC,4C:D9:8F:B2:B1:FD,4C:D9:8F:B2:B1:F6
1S2DG13,4C:D9:8F:B2:96:91,4C:D9:8F:B2:96:92,4C:D9:8F:B2:96:8B
2P2DG13,4C:D9:8F:AF:D1:A9,4C:D9:8F:AF:D1:AA,4C:D9:8F:AF:D1:A3
2Q2DG13,4C:D9:8F:B2:A7:90,4C:D9:8F:B2:A7:91,4C:D9:8F:B2:A7:8A
2R2DG13,4C:D9:8F:B2:91:07,4C:D9:8F:B2:91:08,4C:D9:8F:B2:91:01
2S2DG13,4C:D9:8F:B2:BB:5C,4C:D9:8F:B2:BB:5D,4C:D9:8F:B2:BB:56
3P2DG13,4C:D9:8F:AF:EA:9F,4C:D9:8F:AF:EA:A0,4C:D9:8F:AF:EA:99
3Q2DG13,4C:D9:8F:B2:A2:FE,4C:D9:8F:B2:A2:FF,4C:D9:8F:B2:A2:F8
3R2DG13,4C:D9:8F:B2:9C:8D,4C:D9:8F:B2:9C:8E,4C:D9:8F:B2:9C:87
3S2DG13,4C:D9:8F:B2:BC:14,4C:D9:8F:B2:BC:15,4C:D9:8F:B2:BC:0E
4P2DG13,4C:D9:8F:AF:BC:CA,4C:D9:8F:AF:BC:CB,4C:D9:8F:AF:BC:C4
4Q2DG13,4C:D9:8F:B2:A7:40,4C:D9:8F:B2:A7:41,4C:D9:8F:B2:A7:3A
4R2DG13,4C:D9:8F:B2:98:C3,4C:D9:8F:B2:98:C4,4C:D9:8F:B2:98:BD
4S2DG13,4C:D9:8F:B2:A2:7E,4C:D9:8F:B2:A2:7F,4C:D9:8F:B2:A2:78
5P2DG13,4C:D9:8F:AD:F9:BE,4C:D9:8F:AD:F9:BF,4C:D9:8F:AD:F9:B8
5Q2DG13,4C:D9:8F:B2:A4:A7,4C:D9:8F:B2:A4:A8,4C:D9:8F:B2:A4:A1
5R2DG13,4C:D9:8F:B2:BB:64,4C:D9:8F:B2:BB:65,4C:D9:8F:B2:BB:5E
5S2DG13,4C:D9:8F:B2:98:6B,4C:D9:8F:B2:98:6C,4C:D9:8F:B2:98:65
6P2DG13,4C:D9:8F:AD:FF:6E,4C:D9:8F:AD:FF:6F,4C:D9:8F:AD:FF:68
6Q2DG13,4C:D9:8F:B2:B2:74,4C:D9:8F:B2:B2:75,4C:D9:8F:B2:B2:6E
6R2DG13,4C:D9:8F:B2:BC:74,4C:D9:8F:B2:BC:75,4C:D9:8F:B2:BC:6E
6S2DG13,4C:D9:8F:B2:B4:07,4C:D9:8F:B2:B4:08,4C:D9:8F:B2:B4:01
7P2DG13,4C:D9:8F:AF:D8:00,4C:D9:8F:AF:D8:01,4C:D9:8F:AF:D7:FA
7Q2DG13,4C:D9:8F:B2:BB:9C,4C:D9:8F:B2:BB:9D,4C:D9:8F:B2:BB:96
7R2DG13,4C:D9:8F:B2:98:8B,4C:D9:8F:B2:98:8C,4C:D9:8F:B2:98:85
7S2DG13,4C:D9:8F:B2:93:B0,4C:D9:8F:B2:93:B1,4C:D9:8F:B2:93:AA
8P2DG13,4C:D9:8F:AF:E5:AE,4C:D9:8F:AF:E5:AF,4C:D9:8F:AF:E5:A8
8Q2DG13,4C:D9:8F:B2:91:CF,4C:D9:8F:B2:91:D0,4C:D9:8F:B2:91:C9
8R2DG13,4C:D9:8F:AF:E3:CE,4C:D9:8F:AF:E3:CF,4C:D9:8F:AF:E3:C8
8S2DG13,4C:D9:8F:B2:B7:51,4C:D9:8F:B2:B7:52,4C:D9:8F:B2:B7:4B
9P2DG13,4C:D9:8F:B2:B2:14,4C:D9:8F:B2:B2:15,4C:D9:8F:B2:B2:0E
9Q2DG13,4C:D9:8F:B2:93:D0,4C:D9:8F:B2:93:D1,4C:D9:8F:B2:93:CA
9R2DG13,4C:D9:8F:AF:DF:75,4C:D9:8F:AF:DF:76,4C:D9:8F:AF:DF:6F
9S2DG13,4C:D9:8F:B2:A7:20,4C:D9:8F:B2:A7:21,4C:D9:8F:B2:A7:1A
BQ2DG13,4C:D9:8F:B2:91:6F,4C:D9:8F:B2:91:70,4C:D9:8F:B2:91:69
BR2DG13,4C:D9:8F:AF:FE:13,4C:D9:8F:AF:FE:14,4C:D9:8F:AF:FE:0D
BS2DG13,4C:D9:8F:B2:B4:37,4C:D9:8F:B2:B4:38,4C:D9:8F:B2:B4:31
CP2DG13,4C:D9:8F:B2:A4:D7,4C:D9:8F:B2:A4:D8,4C:D9:8F:B2:A4:D1
CQ2DG13,4C:D9:8F:B2:BE:86,4C:D9:8F:B2:BE:87,4C:D9:8F:B2:BE:80
CR2DG13,4C:D9:8F:AF:D7:C8,4C:D9:8F:AF:D7:C9,4C:D9:8F:AF:D7:C2
CS2DG13,4C:D9:8F:B0:07:0A,4C:D9:8F:B0:07:0B,4C:D9:8F:B0:07:04
DP2DG13,4C:D9:8F:B2:9E:E5,4C:D9:8F:B2:9E:E6,4C:D9:8F:B2:9E:DF
DQ2DG13,4C:D9:8F:B2:93:80,4C:D9:8F:B2:93:81,4C:D9:8F:B2:93:7A
DR2DG13,4C:D9:8F:AF:D6:2F,4C:D9:8F:AF:D6:30,4C:D9:8F:AF:D6:29
DS2DG13,4C:D9:8F:AF:C9:55,4C:D9:8F:AF:C9:56,4C:D9:8F:AF:C9:4F
FP2DG13,4C:D9:8F:B2:98:F3,4C:D9:8F:B2:98:F4,4C:D9:8F:B2:98:ED
FQ2DG13,4C:D9:8F:B2:9B:FD,4C:D9:8F:B2:9B:FE,4C:D9:8F:B2:9B:F7
FR2DG13,4C:D9:8F:AF:D7:80,4C:D9:8F:AF:D7:81,4C:D9:8F:AF:D7:7A
GP2DG13,4C:D9:8F:B2:A2:26,4C:D9:8F:B2:A2:27,4C:D9:8F:B2:A2:20
GQ2DG13,4C:D9:8F:B2:BB:8C,4C:D9:8F:B2:BB:8D,4C:D9:8F:B2:BB:86
GR2DG13,4C:D9:8F:AF:FD:AB,4C:D9:8F:AF:FD:AC,4C:D9:8F:AF:FD:A5
HP2DG13,4C:D9:8F:B2:BD:CE,4C:D9:8F:B2:BD:CF,4C:D9:8F:B2:BD:C8
HQ2DG13,4C:D9:8F:B2:94:A0,4C:D9:8F:B2:94:A1,4C:D9:8F:B2:94:9A
HR2DG13,4C:D9:8F:AF:DA:E9,4C:D9:8F:AF:DA:EA,4C:D9:8F:AF:DA:E3
JN2DG13,4C:D9:8F:AF:C8:0B,4C:D9:8F:AF:C8:0C,4C:D9:8F:AF:C8:05
JP2DG13,4C:D9:8F:B2:B4:EF,4C:D9:8F:B2:B4:F0,4C:D9:8F:B2:B4:E9
JQ2DG13,4C:D9:8F:B2:9C:D5,4C:D9:8F:B2:9C:D6,4C:D9:8F:B2:9C:CF
JR2DG13,4C:D9:8F:AF:E1:96,4C:D9:8F:AF:E1:97,4C:D9:8F:AF:E1:90

# R340 Order 8005195
14XCS13,6C:2B:59:B5:18:13,6C:2B:59:B5:18:14,6C:2B:59:B5:18:0D
15XCS13,6C:2B:59:B5:09:63,6C:2B:59:B5:09:64,6C:2B:59:B5:09:5D
16XCS13,6C:2B:59:B5:18:EB,6C:2B:59:B5:18:EC,6C:2B:59:B5:18:E5
17XCS13,6C:2B:59:B5:12:63,6C:2B:59:B5:12:64,6C:2B:59:B5:12:5D
18XCS13,6C:2B:59:B4:FC:83,6C:2B:59:B4:FC:84,6C:2B:59:B4:FC:7D
19XCS13,6C:2B:59:B5:02:73,6C:2B:59:B5:02:74,6C:2B:59:B5:02:6D
1BXCS13,6C:2B:59:B5:00:BB,6C:2B:59:B5:00:BC,6C:2B:59:B5:00:B5
1JJYQ13,6C:2B:59:B5:15:03,6C:2B:59:B5:15:04,6C:2B:59:B5:14:FD
1KJYQ13,6C:2B:59:B5:12:E3,6C:2B:59:B5:12:E4,6C:2B:59:B5:12:DD
1LJYQ13,6C:2B:59:B5:16:93,6C:2B:59:B5:16:94,6C:2B:59:B5:16:8D
1W1LJ13,6C:2B:59:B5:12:6B,6C:2B:59:B5:12:6C,6C:2B:59:B5:12:65
1X1LJ13,6C:2B:59:B5:12:8B,6C:2B:59:B5:12:8C,6C:2B:59:B5:12:85
1Y1LJ13,6C:2B:59:B5:15:13,6C:2B:59:B5:15:14,6C:2B:59:B5:15:0D
24XCS13,6C:2B:59:B4:FC:FB,6C:2B:59:B4:FC:FC,6C:2B:59:B4:FC:F5
25XCS13,6C:2B:59:B5:11:DB,6C:2B:59:B5:11:DC,6C:2B:59:B5:11:D5
26XCS13,6C:2B:59:B5:19:23,6C:2B:59:B5:19:24,6C:2B:59:B5:19:1D
27XCS13,6C:2B:59:B4:FC:93,6C:2B:59:B4:FC:94,6C:2B:59:B4:FC:8D
28XCS13,6C:2B:59:B5:01:23,6C:2B:59:B5:01:24,6C:2B:59:B5:01:1D
29XCS13,6C:2B:59:B5:04:0B,6C:2B:59:B5:04:0C,6C:2B:59:B5:04:05
2BXCS13,6C:2B:59:B5:01:03,6C:2B:59:B5:01:04,6C:2B:59:B5:00:FD
2JJYQ13,6C:2B:59:B5:16:CB,6C:2B:59:B5:16:CC,6C:2B:59:B5:16:C5
2KJYQ13,6C:2B:59:B5:16:63,6C:2B:59:B5:16:64,6C:2B:59:B5:16:5D
2LJYQ13,6C:2B:59:B5:15:43,6C:2B:59:B5:15:44,6C:2B:59:B5:15:3D
2V1LJ13,6C:2B:59:B5:18:8B,6C:2B:59:B5:18:8C,6C:2B:59:B5:18:85
2W1LJ13,6C:2B:59:B5:13:6B,6C:2B:59:B5:13:6C,6C:2B:59:B5:13:65
2X1LJ13,6C:2B:59:B5:16:D3,6C:2B:59:B5:16:D4,6C:2B:59:B5:16:CD
2Y1LJ13,6C:2B:59:B5:16:83,6C:2B:59:B5:16:84,6C:2B:59:B5:16:7D
34XCS13,6C:2B:59:B5:13:D3,6C:2B:59:B5:13:D4,6C:2B:59:B5:13:CD
35XCS13,6C:2B:59:B5:07:53,6C:2B:59:B5:07:54,6C:2B:59:B5:07:4D
36XCS13,6C:2B:59:B5:19:1B,6C:2B:59:B5:19:1C,6C:2B:59:B5:19:15
37XCS13,6C:2B:59:B4:FF:9B,6C:2B:59:B4:FF:9C,6C:2B:59:B4:FF:95
38XCS13,6C:2B:59:B5:02:1B,6C:2B:59:B5:02:1C,6C:2B:59:B5:02:15
39XCS13,6C:2B:59:B4:FF:FB,6C:2B:59:B4:FF:FC,6C:2B:59:B4:FF:F5
3BXCS13,6C:2B:59:B4:FC:F3,6C:2B:59:B4:FC:F4,6C:2B:59:B4:FC:ED
3JJYQ13,6C:2B:59:B5:17:CB,6C:2B:59:B5:17:CC,6C:2B:59:B5:17:C5
3KJYQ13,6C:2B:59:B5:19:BB,6C:2B:59:B5:19:BC,6C:2B:59:B5:19:B5
3LJYQ13,6C:2B:59:B5:15:2B,6C:2B:59:B5:15:2C,6C:2B:59:B5:15:25
3V1LJ13,6C:2B:59:B5:19:53,6C:2B:59:B5:19:54,6C:2B:59:B5:19:4D
3W1LJ13,6C:2B:59:B5:12:B3,6C:2B:59:B5:12:B4,6C:2B:59:B5:12:AD
3X1LJ13,6C:2B:59:B5:18:43,6C:2B:59:B5:18:44,6C:2B:59:B5:18:3D
3Y1LJ13,6C:2B:59:B5:16:2B,6C:2B:59:B5:16:2C,6C:2B:59:B5:16:25
44XCS13,6C:2B:59:B4:FC:9B,6C:2B:59:B4:FC:9C,6C:2B:59:B4:FC:95
45XCS13,6C:2B:59:B4:FF:6B,6C:2B:59:B4:FF:6C,6C:2B:59:B4:FF:65
46XCS13,6C:2B:59:B5:1A:23,6C:2B:59:B5:1A:24,6C:2B:59:B5:1A:1D
47XCS13,6C:2B:59:B5:02:EB,6C:2B:59:B5:02:EC,6C:2B:59:B5:02:E5
48XCS13,6C:2B:59:B5:05:53,6C:2B:59:B5:05:54,6C:2B:59:B5:05:4D
49XCS13,6C:2B:59:B5:04:1B,6C:2B:59:B5:04:1C,6C:2B:59:B5:04:15
4BXCS13,6C:2B:59:B5:0A:43,6C:2B:59:B5:0A:44,6C:2B:59:B5:0A:3D
4HJYQ13,6C:2B:59:B5:11:13,6C:2B:59:B5:11:14,6C:2B:59:B5:11:0D
4JJYQ13,6C:2B:59:B5:17:23,6C:2B:59:B5:17:24,6C:2B:59:B5:17:1D
4KJYQ13,6C:2B:59:B5:17:5B,6C:2B:59:B5:17:5C,6C:2B:59:B5:17:55
4LJYQ13,6C:2B:59:B5:1A:13,6C:2B:59:B5:1A:14,6C:2B:59:B5:1A:0D
4V1LJ13,6C:2B:59:B5:17:4B,6C:2B:59:B5:17:4C,6C:2B:59:B5:17:45
4W1LJ13,6C:2B:59:B5:12:F3,6C:2B:59:B5:12:F4,6C:2B:59:B5:12:ED
4X1LJ13,6C:2B:59:B5:18:1B,6C:2B:59:B5:18:1C,6C:2B:59:B5:18:15
54XCS13,6C:2B:59:B5:01:BB,6C:2B:59:B5:01:BC,6C:2B:59:B5:01:B5
55XCS13,6C:2B:59:B5:0B:8B,6C:2B:59:B5:0B:8C,6C:2B:59:B5:0B:85
56XCS13,6C:2B:59:B5:18:93,6C:2B:59:B5:18:94,6C:2B:59:B5:18:8D
57XCS13,6C:2B:59:B5:03:13,6C:2B:59:B5:03:14,6C:2B:59:B5:03:0D
58XCS13,6C:2B:59:B5:01:8B,6C:2B:59:B5:01:8C,6C:2B:59:B5:01:85
59XCS13,6C:2B:59:B5:04:A3,6C:2B:59:B5:04:A4,6C:2B:59:B5:04:9D
5BXCS13,6C:2B:59:B4:FF:63,6C:2B:59:B4:FF:64,6C:2B:59:B4:FF:5D
5HJYQ13,6C:2B:59:B5:13:63,6C:2B:59:B5:13:64,6C:2B:59:B5:13:5D
5JJYQ13,6C:2B:59:B5:16:33,6C:2B:59:B5:16:34,6C:2B:59:B5:16:2D
5KJYQ13,6C:2B:59:B5:15:33,6C:2B:59:B5:15:34,6C:2B:59:B5:15:2D
5LJYQ13,6C:2B:59:B5:18:DB,6C:2B:59:B5:18:DC,6C:2B:59:B5:18:D5
5V1LJ13,6C:2B:59:B5:17:D3,6C:2B:59:B5:17:D4,6C:2B:59:B5:17:CD
5W1LJ13,6C:2B:59:B5:15:CB,6C:2B:59:B5:15:CC,6C:2B:59:B5:15:C5
5X1LJ13,6C:2B:59:B5:16:AB,6C:2B:59:B5:16:AC,6C:2B:59:B5:16:A5
64XCS13,6C:2B:59:B5:09:EB,6C:2B:59:B5:09:EC,6C:2B:59:B5:09:E5
65XCS13,6C:2B:59:B4:FC:33,6C:2B:59:B4:FC:34,6C:2B:59:B4:FC:2D
66XCS13,6C:2B:59:B5:19:83,6C:2B:59:B5:19:84,6C:2B:59:B5:19:7D
67XCS13,6C:2B:59:B5:14:C3,6C:2B:59:B5:14:C4,6C:2B:59:B5:14:BD
68XCS13,6C:2B:59:B5:18:F3,6C:2B:59:B5:18:F4,6C:2B:59:B5:18:ED
69XCS13,6C:2B:59:B5:05:1B,6C:2B:59:B5:05:1C,6C:2B:59:B5:05:15
6BXCS13,6C:2B:59:B5:01:13,6C:2B:59:B5:01:14,6C:2B:59:B5:01:0D
6HJYQ13,6C:2B:59:B5:16:23,6C:2B:59:B5:16:24,6C:2B:59:B5:16:1D
6JJYQ13,6C:2B:59:B5:16:6B,6C:2B:59:B5:16:6C,6C:2B:59:B5:16:65
6KJYQ13,6C:2B:59:B5:15:F3,6C:2B:59:B5:15:F4,6C:2B:59:B5:15:ED
6V1LJ13,6C:2B:59:B5:18:83,6C:2B:59:B5:18:84,6C:2B:59:B5:18:7D
6W1LJ13,6C:2B:59:B5:18:3B,6C:2B:59:B5:18:3C,6C:2B:59:B5:18:35
6X1LJ13,6C:2B:59:B5:16:B3,6C:2B:59:B5:16:B4,6C:2B:59:B5:16:AD
74XCS13,6C:2B:59:B4:FC:23,6C:2B:59:B4:FC:24,6C:2B:59:B4:FC:1D
75XCS13,6C:2B:59:B4:FD:43,6C:2B:59:B4:FD:44,6C:2B:59:B4:FD:3D
76XCS13,6C:2B:59:B5:18:CB,6C:2B:59:B5:18:CC,6C:2B:59:B5:18:C5
77XCS13,6C:2B:59:B5:02:DB,6C:2B:59:B5:02:DC,6C:2B:59:B5:02:D5
78XCS13,6C:2B:59:B5:01:E3,6C:2B:59:B5:01:E4,6C:2B:59:B5:01:DD
79XCS13,6C:2B:59:B5:05:F3,6C:2B:59:B5:05:F4,6C:2B:59:B5:05:ED
7BXCS13,6C:2B:59:B5:07:AB,6C:2B:59:B5:07:AC,6C:2B:59:B5:07:A5
7HJYQ13,6C:2B:59:B5:14:4B,6C:2B:59:B5:14:4C,6C:2B:59:B5:14:45
7JJYQ13,6C:2B:59:B5:15:1B,6C:2B:59:B5:15:1C,6C:2B:59:B5:15:15
7KJYQ13,6C:2B:59:B5:14:23,6C:2B:59:B5:14:24,6C:2B:59:B5:14:1D
7V1LJ13,6C:2B:59:B5:18:73,6C:2B:59:B5:18:74,6C:2B:59:B5:18:6D
7W1LJ13,6C:2B:59:B5:19:E3,6C:2B:59:B5:19:E4,6C:2B:59:B5:19:DD
7X1LJ13,6C:2B:59:B5:16:A3,6C:2B:59:B5:16:A4,6C:2B:59:B5:16:9D
83XCS13,6C:2B:59:B5:01:EB,6C:2B:59:B5:01:EC,6C:2B:59:B5:01:E5
84XCS13,6C:2B:59:B5:02:33,6C:2B:59:B5:02:34,6C:2B:59:B5:02:2D
85XCS13,6C:2B:59:B4:FF:B3,6C:2B:59:B4:FF:B4,6C:2B:59:B4:FF:AD
86XCS13,6C:2B:59:B5:18:D3,6C:2B:59:B5:18:D4,6C:2B:59:B5:18:CD
87XCS13,6C:2B:59:B5:03:E3,6C:2B:59:B5:03:E4,6C:2B:59:B5:03:DD
88XCS13,6C:2B:59:B4:FC:B3,6C:2B:59:B4:FC:B4,6C:2B:59:B4:FC:AD
89XCS13,6C:2B:59:B5:07:9B,6C:2B:59:B5:07:9C,6C:2B:59:B5:07:95
8BXCS13,6C:2B:59:B5:02:E3,6C:2B:59:B5:02:E4,6C:2B:59:B5:02:DD
8HJYQ13,6C:2B:59:B5:14:E3,6C:2B:59:B5:14:E4,6C:2B:59:B5:14:DD
8JJYQ13,6C:2B:59:B5:18:7B,6C:2B:59:B5:18:7C,6C:2B:59:B5:18:75
8KJYQ13,6C:2B:59:B5:15:0B,6C:2B:59:B5:15:0C,6C:2B:59:B5:15:05
8V1LJ13,6C:2B:59:B5:19:7B,6C:2B:59:B5:19:7C,6C:2B:59:B5:19:75
8W1LJ13,6C:2B:59:B5:18:9B,6C:2B:59:B5:18:9C,6C:2B:59:B5:18:95
8X1LJ13,6C:2B:59:B5:17:73,6C:2B:59:B5:17:74,6C:2B:59:B5:17:6D
93XCS13,6C:2B:59:B5:18:B3,6C:2B:59:B5:18:B4,6C:2B:59:B5:18:AD
94XCS13,6C:2B:59:B4:FE:EB,6C:2B:59:B4:FE:EC,6C:2B:59:B4:FE:E5
95XCS13,6C:2B:59:B5:02:5B,6C:2B:59:B5:02:5C,6C:2B:59:B5:02:55
96XCS13,6C:2B:59:B5:1A:0B,6C:2B:59:B5:1A:0C,6C:2B:59:B5:1A:05
97XCS13,6C:2B:59:B5:05:4B,6C:2B:59:B5:05:4C,6C:2B:59:B5:05:45
98XCS13,6C:2B:59:B4:FB:43,6C:2B:59:B4:FB:44,6C:2B:59:B4:FB:3D
99XCS13,6C:2B:59:B5:02:2B,6C:2B:59:B5:02:2C,6C:2B:59:B5:02:25
9BXCS13,6C:2B:59:B4:FF:A3,6C:2B:59:B4:FF:A4,6C:2B:59:B4:FF:9D
9HJYQ13,6C:2B:59:B5:15:3B,6C:2B:59:B5:15:3C,6C:2B:59:B5:15:35
9JJYQ13,6C:2B:59:B5:14:7B,6C:2B:59:B5:14:7C,6C:2B:59:B5:14:75
9KJYQ13,6C:2B:59:B5:17:93,6C:2B:59:B5:17:94,6C:2B:59:B5:17:8D
9V1LJ13,6C:2B:59:B5:17:1B,6C:2B:59:B5:17:1C,6C:2B:59:B5:17:15
9W1LJ13,6C:2B:59:B5:16:53,6C:2B:59:B5:16:54,6C:2B:59:B5:16:4D
9X1LJ13,6C:2B:59:B5:16:C3,6C:2B:59:B5:16:C4,6C:2B:59:B5:16:BD
B3XCS13,6C:2B:59:B5:19:63,6C:2B:59:B5:19:64,6C:2B:59:B5:19:5D
B4XCS13,6C:2B:59:B5:01:D3,6C:2B:59:B5:01:D4,6C:2B:59:B5:01:CD
B5XCS13,6C:2B:59:B4:FF:13,6C:2B:59:B4:FF:14,6C:2B:59:B4:FF:0D
B6XCS13,6C:2B:59:B4:FF:5B,6C:2B:59:B4:FF:5C,6C:2B:59:B4:FF:55
B7XCS13,6C:2B:59:B5:04:13,6C:2B:59:B5:04:14,6C:2B:59:B5:04:0D
B8XCS13,6C:2B:59:B4:FD:0B,6C:2B:59:B4:FD:0C,6C:2B:59:B4:FD:05
B9XCS13,6C:2B:59:B5:09:AB,6C:2B:59:B5:09:AC,6C:2B:59:B5:09:A5
BBXCS13,6C:2B:59:B5:00:E3,6C:2B:59:B5:00:E4,6C:2B:59:B5:00:DD
BHJYQ13,6C:2B:59:B5:15:8B,6C:2B:59:B5:15:8C,6C:2B:59:B5:15:85
BJJYQ13,6C:2B:59:B5:13:5B,6C:2B:59:B5:13:5C,6C:2B:59:B5:13:55
BKJYQ13,6C:2B:59:B5:15:4B,6C:2B:59:B5:15:4C,6C:2B:59:B5:15:45
BV1LJ13,6C:2B:59:B5:18:33,6C:2B:59:B5:18:34,6C:2B:59:B5:18:2D
BW1LJ13,6C:2B:59:B5:16:1B,6C:2B:59:B5:16:1C,6C:2B:59:B5:16:15
BX1LJ13,6C:2B:59:B5:16:9B,6C:2B:59:B5:16:9C,6C:2B:59:B5:16:95
C3XCS13,6C:2B:59:B5:19:43,6C:2B:59:B5:19:44,6C:2B:59:B5:19:3D
C4XCS13,6C:2B:59:B4:FB:8B,6C:2B:59:B4:FB:8C,6C:2B:59:B4:FB:85
C5XCS13,6C:2B:59:B4:FF:53,6C:2B:59:B4:FF:54,6C:2B:59:B4:FF:4D
C6XCS13,6C:2B:59:B4:FB:FB,6C:2B:59:B4:FB:FC,6C:2B:59:B4:FB:F5
C7XCS13,6C:2B:59:B5:06:AB,6C:2B:59:B5:06:AC,6C:2B:59:B5:06:A5
C8XCS13,6C:2B:59:B5:07:83,6C:2B:59:B5:07:84,6C:2B:59:B5:07:7D
C9XCS13,6C:2B:59:B5:06:7B,6C:2B:59:B5:06:7C,6C:2B:59:B5:06:75
CBXCS13,6C:2B:59:B5:09:43,6C:2B:59:B5:09:44,6C:2B:59:B5:09:3D
CHJYQ13,6C:2B:59:B5:19:FB,6C:2B:59:B5:19:FC,6C:2B:59:B5:19:F5
CJJYQ13,6C:2B:59:B5:13:AB,6C:2B:59:B5:13:AC,6C:2B:59:B5:13:A5
CKJYQ13,6C:2B:59:B5:15:63,6C:2B:59:B5:15:64,6C:2B:59:B5:15:5D
CV1LJ13,6C:2B:59:B5:17:43,6C:2B:59:B5:17:44,6C:2B:59:B5:17:3D
CW1LJ13,6C:2B:59:B5:17:8B,6C:2B:59:B5:17:8C,6C:2B:59:B5:17:85
CX1LJ13,6C:2B:59:B5:16:03,6C:2B:59:B5:16:04,6C:2B:59:B5:15:FD
D3XCS13,6C:2B:59:B5:18:AB,6C:2B:59:B5:18:AC,6C:2B:59:B5:18:A5
D4XCS13,6C:2B:59:B4:FF:73,6C:2B:59:B4:FF:74,6C:2B:59:B4:FF:6D
D5XCS13,6C:2B:59:B5:02:7B,6C:2B:59:B5:02:7C,6C:2B:59:B5:02:75
D6XCS13,6C:2B:59:B5:01:5B,6C:2B:59:B5:01:5C,6C:2B:59:B5:01:55
D7XCS13,6C:2B:59:B5:12:23,6C:2B:59:B5:12:24,6C:2B:59:B5:12:1D
D8XCS13,6C:2B:59:B4:FB:5B,6C:2B:59:B4:FB:5C,6C:2B:59:B4:FB:55
D9XCS13,6C:2B:59:B5:19:A3,6C:2B:59:B5:19:A4,6C:2B:59:B5:19:9D
DBXCS13,6C:2B:59:B4:FF:03,6C:2B:59:B4:FF:04,6C:2B:59:B4:FE:FD
DHJYQ13,6C:2B:59:B5:15:C3,6C:2B:59:B5:15:C4,6C:2B:59:B5:15:BD
