<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


# Order 7006851, DAQ3VAL
# PowerEdge R740, CPU Dual 6130
4X2K3N2,00:0a:f7:bc:56:f6,00:0a:f7:bc:56:F7,58:8a:5a:ea:3e:02
4X2N3N2,00:0a:f7:bc:7e:b0,00:0a:f7:bc:7e:B1,58:8a:5a:ea:2c:c8
4X1M3N2,00:0a:f7:bc:25:64,00:0a:f7:bc:25:65,58:8a:5a:ea:41:08
4X2L3N2,00:0a:f7:bc:8c:ae,00:0a:f7:bc:8c:AF,58:8a:5a:ea:3d:24
4X1T3N2,00:0a:f7:bc:56:e4,00:0a:f7:bc:56:E5,58:8a:5a:ea:44:ce
4X3K3N2,00:0a:f7:bc:82:46,00:0a:f7:bc:82:47,58:8a:5a:ea:3e:68
4X3L3N2,00:0a:f7:bc:67:b2,00:0a:f7:bc:67:B3,58:8a:5a:ea:3e:62
4X1Q3N2,00:0a:f7:bc:7b:bc,00:0a:f7:bc:7b:BD,58:8a:5a:ea:3d:42
4X2P3N2,00:0a:f7:bc:93:14,00:0a:f7:bc:93:15,58:8a:5a:ea:44:da
4X2R3N2,00:0a:f7:bc:7b:86,00:0a:f7:bc:7b:87,58:8a:5a:ea:3d:c6
4X2M3N2,00:0a:f7:bc:56:d2,00:0a:f7:bc:56:D3,58:8a:5a:ea:31:3c
4X2Q3N2,00:0a:f7:bc:81:5c,00:0a:f7:bc:81:5D,58:8a:5a:ea:3d:de
4X2T3N2,00:0a:f7:bc:66:fe,00:0a:f7:bc:66:FF,58:8a:5a:ea:3f:a6
4X2S3N2,00:0a:f7:bc:67:22,00:0a:f7:bc:67:23,58:8a:5a:ea:3d:fc
# PowerEdge R740, CPU Dual 6132
4X1N3N2,00:0a:f7:bc:67:fa,00:0a:f7:bc:67:FB,58:8a:5a:ea:3d:84
4X1S3N2,00:0a:f7:bc:82:b2,00:0a:f7:bc:82:B3,58:8a:5a:ea:45:a6


# Last order on DAQ2 contract, Nov 2018
# https://edh.cern.ch/Document/SupplyChain/DAI/7495696
# NIC3 = MAC, NIC4 = MAC + 1, NIC1 = MAC + 2, NIC2 = MAC + 3, IPMI = OTHERMAC
# PowerEdge R740, CPU Dual 6132
F6RT2S2,B0:26:28:16:71:3A,B0:26:28:16:71:3B,4C:D9:8F:0D:FC:86
F6RW2S2,B0:26:28:17:E5:08,B0:26:28:17:E5:09,4C:D9:8F:0E:3C:2E
# PowerEdge R740, CPU Dual 6130
F6SS2S2,B0:26:28:16:4A:B2,B0:26:28:16:4A:B3,4C:D9:8F:0E:3C:34
F6ST2S2,B0:26:28:16:3E:E2,B0:26:28:16:3E:E3,4C:D9:8F:0E:3B:8C
# one of each type are in the lab in B40


# Dell R340 ordered as a test machine for VMEPC
27ZFMX2,6C:2B:59:94:F7:5A,6C:2B:59:94:F7:5B,6C:2B:59:94:F7:54

# Dell R340 Tender test machine
6T1F5Z2,6C:2B:59:99:AF:F0,6C:2B:59:99:AF:F1,6C:2B:59:99:AF:EA

# Dell R440 Tender test machine
1V3H6Z2,4C:D9:8F:7C:02:31,4C:D9:8F:7C:02:32,4C:D9:8F:7C:02:2B

